,Lap,Alap összesen,Alap top%,Side összesen,Side top%
1.,A teknősök öregapja (2019) (epikus),73,21.92%,0,0%
2.,"Asz-phalt, a megbízható",59,27.12%,0,0%
3.,A kalandozók védőszentje (2024) (epikus),47,17.02%,0,0%
4.,Semleges csatamező,44,29.55%,0,0%
5.,"Jobb későn, mint soha!",44,18.18%,0,0%
6.,Xenó ősplazma (epikus),42,35.71%,0,0%
7.,"Valsirah, a tündöklő (epikus)",41,29.27%,0,0%
8.,A hét törzs főnöke,41,12.2%,0,0%
9.,"Fufuka, az álomelf (epikus)",39,33.33%,0,0%
10.,Sokszínűség,39,25.64%,0,0%
11.,"Rox, a csontok ura (2026) (epikus)",35,31.43%,0,0%
12.,Zarknod bilincse (2020),24,20.83%,0,0%
13.,Sötét manifesztáció (2026),22,27.27%,0,0%
14.,"Mulgan, a segítő (2025) (epikus)",22,9.09%,0,0%
15.,Alanori lápvidék,20,15%,0,0%
16.,Zarknod börtönében,19,36.84%,0,0%
17.,Átkozott követő (új),19,15.79%,0,0%
18.,Zu'lit familiárisa (epikus),18,11.11%,0,0%
19.,Kragoru familiárisa,16,12.5%,0,0%
20.,"Átkozott követő (új), Hegymélyi keltető (2025)",14,42.86%,0,0%
21.,Zarknod bilincse,14,21.43%,0,0%
22.,Goblin totemisten (epikus),13,15.38%,0,0%
23.,"Edharati, a bűbájmester (2024) (epikus)",12,16.67%,0,0%
24.,Az első vámpír (2026) (epikus),12,8.33%,0,0%
25.,Legendás pegazus (új) (epikus),8,37.5%,0,0%
26.,A torzak hercege (új) (epikus),8,37.5%,0,0%
27.,"Melák, az óriás (2024) (epikus)",8,25%,0,0%
28.,Korlátozás (2020),8,0%,0,0%
29.,"Egérút (új), Harangmester (2020)",8,0%,0,0%
30.,Ősi rúna,7,42.86%,0,0%
31.,Tarrgeth,7,0%,0,0%
32.,Hegymélyi keltető (2025),6,50%,0,0%
33.,"Zuon, az ajándékozó (2026) (epikus)",6,33.33%,0,0%
34.,Phukhi (epikus),6,16.67%,0,0%
35.,Villámháború,6,0%,0,0%
36.,Mélytengeri szörny (epikus),6,0%,0,0%
37.,Weerd admirális (epikus),5,20%,0,0%
38.,"G'wynn, a gondoskodó (epikus)",5,0%,0,0%
39.,"Zén, a vezér",5,0%,0,0%
40.,Lassan járj!,4,25%,0,0%
41.,Terik-von kincstárnok (epikus),4,25%,0,0%
42.,"Lassan járj!, Sárkány úrnő(alfa)",4,25%,0,0%
43.,Ulkor jégisten (epikus),4,0%,0,0%
44.,"Átkozott követő (új), Régi szép idők",4,0%,0,0%
45.,"Bűvös erdő (új), Őrült Enkala, az animátor (2020)",3,66.67%,0,0%
46.,Egérút (új),3,33.33%,0,0%
47.,Harangmester (2020),3,33.33%,0,0%
48.,"Őrült Enkala, az animátor (2023) (epikus)",3,33.33%,0,0%
49.,"Lassan járj!, Harangmester (2020)",3,33.33%,0,0%
50.,Hegymélyi keltető,3,0%,0,0%
51.,Legfőbb káoszmester (epikus),3,0%,0,0%
52.,Teremtő rakshallion (2019) (epikus),3,0%,0,0%
53.,Daxx (epikus),3,0%,0,0%
54.,"Lassan járj!, Átkozott követő (új)",3,0%,0,0%
55.,"Molluszk, az ócskás",2,50%,0,0%
56.,Chara-din követője (2020),2,50%,0,0%
57.,Leah követője (2025),2,50%,0,0%
58.,"Qwikrekson, a quwarg sámán (2025) (epikus)",2,50%,0,0%
59.,"A bőség zavara (2020), Harangmester (2020)",2,50%,0,0%
60.,Életenergia (új),2,0%,0,0%
61.,Rhatt követője (új) (epikus),2,0%,0,0%
62.,Ganüid nagymester (epikus),2,0%,0,0%
63.,"Őrült Enkala, az animátor (2020)",2,0%,0,0%
64.,Építő rakshallion (2020),2,0%,0,0%
65.,Főparancsnok (2020),2,0%,0,0%
66.,"Alanella, az ellenálhatatlan (epikus)",2,0%,0,0%
67.,Gormathion kegyence (epikus),2,0%,0,0%
68.,Arakhné (epikus),2,0%,0,0%
69.,Régi szép idők,2,0%,0,0%
70.,Behemótok nagymestere (2024),2,0%,0,0%
71.,"Hálócsapda, Chara-din követője (2020)",2,0%,0,0%
72.,"Életenergia (új), Harangmester (2020)",2,0%,0,0%
73.,"A legfőbb követő, Molluszk, az ócskás, Chara-din követője (2020), Harangmester (2020), Toborzó (2025)",1,100%,0,0%
74.,"A legfőbb követő, Molluszk, az ócskás, A hét törzs főnöke, Toborzó (2025), Sötét manifesztáció (2026)",1,100%,0,0%
75.,Ősi bölcsesség,1,0%,0,0%
76.,Hálócsapda,1,0%,0,0%
77.,Rejtett tartalék,1,0%,0,0%
78.,"Rox, a csontok ura (új)",1,0%,0,0%
79.,Elsődleges elementál (epikus),1,0%,0,0%
80.,Tharr követője (2020),1,0%,0,0%
81.,A mindentudó (2021),1,0%,0,0%
82.,Termik epikolosszus (epikus),1,0%,0,0%
83.,Ősi vérivó,1,0%,0,0%
84.,"Ősi rúna, Építő rakshallion (2020)",1,0%,0,0%
85.,"Főparancsnok (2020), Hegymélyi keltető (2025)",1,0%,0,0%
86.,"Ősi rúna, Átkozott követő (új)",1,0%,0,0%
87.,"Lassan járj!, Főparancsnok (2020)",1,0%,0,0%
88.,"Gormathion kegyence (epikus), Leah követője (2025)",1,0%,0,0%
89.,"Bűvös erdő, Őrült Enkala, az animátor (2020)",1,0%,0,0%
90.,"Építő rakshallion (2020), Régi szép idők",1,0%,0,0%
91.,"Hegymélyi keltető, Átkozott követő (új)",1,0%,0,0%
92.,"Átkozott követő (új), Bűvös erdő (új)",1,0%,0,0%
93.,"A bőség zavara (2020), Főparancsnok (2020)",1,0%,0,0%
94.,"Átkozott követő (új), Villámháború",1,0%,0,0%
95.,"Antimágikus rakshallion (2020), Régi szép idők",1,0%,0,0%
