,Lap,Összesen,Főpakli összesen,Főpakli top%,Side összesen,Side top%
1.,Sokszínűség,14,14,21.43%,0,0%
2.,A teknősök öregapja (2019) (epikus),13,13,23.08%,0,0%
3.,"Fufuka, az álomelf (epikus)",12,12,66.67%,0,0%
4.,"Jobb későn, mint soha!",11,11,36.36%,0,0%
5.,Zu'lit familiárisa (epikus),10,10,30%,0,0%
6.,Átkozott követő (új),9,9,11.11%,0,0%
7.,Edralian (2026),8,8,25%,0,0%
8.,A kalandozók védőszentje (2024) (epikus),8,8,0%,0,0%
9.,Tarrgeth,7,7,57.14%,0,0%
10.,"Asz-phalt, a megbízható",7,7,42.86%,0,0%
11.,Semleges csatamező,7,7,14.29%,0,0%
12.,"Valsirah, a tündöklő (epikus)",6,6,33.33%,0,0%
13.,Xenó ősplazma (epikus),6,6,16.67%,0,0%
14.,"Őrült Enkala, az animátor (2023) (epikus)",5,5,40%,0,0%
15.,Kragoru familiárisa,5,5,20%,0,0%
16.,Jura park (epikus),4,4,25%,0,0%
17.,"Melák, az óriás (2024) (epikus)",4,4,25%,0,0%
18.,Alanori lápvidék,4,4,25%,0,0%
19.,Zarknod bilincse,4,4,25%,0,0%
20.,"Lassan járj!, Átkozott követő (új)",4,4,0%,0,0%
21.,Zarknod bilincse (2020),4,4,0%,0,0%
22.,Sötét manifesztáció (2026),3,3,66.67%,0,0%
23.,Gormathion kegyence (epikus),3,3,0%,0,0%
24.,A mindentudó (2021),3,3,0%,0,0%
25.,"Alanella, az ellenálhatatlan (epikus)",3,3,0%,0,0%
26.,Zarknod börtönében,3,3,0%,0,0%
27.,Elsődleges elementál (2026) (epikus),2,2,50%,0,0%
28.,A Mennyek Úrnője (2025) (epikus),2,2,50%,0,0%
29.,Goblin totemisten (epikus),2,2,50%,0,0%
30.,"A bőség zavara (2020), Antimágikus rakshallion (2020)",2,2,0%,0,0%
31.,Motyogó kultivátor (2026) (epikus),2,2,0%,0,0%
32.,"Rox, a csontok ura (2026) (epikus)",2,2,0%,0,0%
33.,Hegymélyi keltető (2025),2,2,0%,0,0%
34.,"Edharati, a bűbájmester (2024) (epikus)",2,2,0%,0,0%
35.,Termik epikolosszus (epikus),2,2,0%,0,0%
36.,Ulkor jégisten (epikus),2,2,0%,0,0%
37.,Korlátozás (2020),2,2,0%,0,0%
38.,Rhatt követője (új) (epikus),2,2,0%,0,0%
39.,A hét törzs főnöke,2,2,0%,0,0%
40.,"Harangmester (2020), Régi szép idők",1,1,100%,0,0%
41.,Régi szép idők,1,1,100%,0,0%
42.,Terik-von kincstárnok (epikus),1,1,100%,0,0%
43.,"Ősi rúna, Átkozott követő (új)",1,1,0%,0,0%
44.,"Átkozott követő (új), Rejtett tartalék, Harangmester (2020)",1,1,0%,0,0%
45.,"A bőség zavara (2020), Harangmester (2020)",1,1,0%,0,0%
46.,"Átkozott követő (új), Hegymélyi keltető (2025)",1,1,0%,0,0%
47.,"Ősi rúna, Antimágikus rakshallion (2020), Átkozott követő (új)",1,1,0%,0,0%
48.,"Főparancsnok (2020), Régi szép idők",1,1,0%,0,0%
49.,"Lassan járj!, Sárkány úrnő (2026)",1,1,0%,0,0%
50.,"Egérút (új), Harangmester (2020)",1,1,0%,0,0%
51.,"A bőség zavara (2020), Főparancsnok (2020)",1,1,0%,0,0%
52.,Mélytengeri szörny (epikus),1,1,0%,0,0%
53.,"Qwikrekson, a quwarg sámán (2025) (epikus)",1,1,0%,0,0%
54.,Legfőbb inváziómester,1,1,0%,0,0%
55.,Weerd admirális (epikus),1,1,0%,0,0%
56.,"G'wynn, a gondoskodó (epikus)",1,1,0%,0,0%
57.,A torzak hercege (új) (epikus),1,1,0%,0,0%
58.,Legendás pegazus (új) (epikus),1,1,0%,0,0%
59.,"Molluszk, az ócskás",1,1,0%,0,0%
60.,Lassan járj!,1,1,0%,0,0%
