,Lap,Összesen,Főpakli összesen,Főpakli top%,Side összesen,Side top%
1.,Átkozott követő (új),24,24,16.67%,0,0%
2.,Zu'lit familiárisa (epikus),21,21,33.33%,0,0%
3.,Zarknod börtönében,15,15,13.33%,0,0%
4.,Edralian (2026),12,12,33.33%,0,0%
5.,"Fufuka, az álomelf (epikus)",12,12,16.67%,0,0%
6.,Jura park (epikus),8,8,37.5%,0,0%
7.,"Átkozott követő (új), Hegymélyi keltető (2025)",8,8,25%,0,0%
8.,Goblin totemisten (epikus),8,8,12.5%,0,0%
9.,"Harangmester (2020), Régi szép idők",6,6,33.33%,0,0%
10.,A torzak hercege (új) (epikus),6,6,0%,0,0%
11.,Tarrgeth,4,4,50%,0,0%
12.,"A bőség zavara (2020), Antimágikus rakshallion (2020)",4,4,25%,0,0%
13.,Korlátozás (2020),4,4,25%,0,0%
14.,Motyogó kultivátor (2026) (epikus),4,4,0%,0,0%
15.,"Qwikrekson, a quwarg sámán (2025) (epikus)",4,4,0%,0,0%
16.,Hegymélyi keltető (2025),4,4,0%,0,0%
17.,"Őrült Enkala, az animátor (2020)",3,3,66.67%,0,0%
18.,Terik-von kincstárnok (epikus),3,3,33.33%,0,0%
19.,Sötét manifesztáció (2026),3,3,0%,0,0%
20.,"Edharati, a bűbájmester (2024) (epikus)",3,3,0%,0,0%
21.,A kalandozók védőszentje (2024) (epikus),3,3,0%,0,0%
22.,A teknősök öregapja (2019) (epikus),3,3,0%,0,0%
23.,Xenó ősplazma (epikus),3,3,0%,0,0%
24.,Alanori lápvidék,2,2,50%,0,0%
25.,"Átkozott követő (új), Régi szép idők",2,2,0%,0,0%
26.,"Rox, a csontok ura (2026) (epikus)",2,2,0%,0,0%
27.,Az első vámpír (2026) (epikus),2,2,0%,0,0%
28.,Mélytengeri szörny (epikus),2,2,0%,0,0%
29.,A Mennyek Úrnője (2025) (epikus),2,2,0%,0,0%
30.,Termik epikolosszus (epikus),2,2,0%,0,0%
31.,"G'wynn, a gondoskodó (epikus)",2,2,0%,0,0%
32.,Phukhi (epikus),2,2,0%,0,0%
33.,"Ősi rúna, Tharr követője (2020)",1,1,100%,0,0%
34.,"Életenergia (új), Harangmester (2020)",1,1,100%,0,0%
35.,"Építő rakshallion (2020), Nincs ingyen kenyér",1,1,100%,0,0%
36.,"Zuon, az ajándékozó (2026) (epikus)",1,1,100%,0,0%
37.,"Achid, a feloldó (epikus)",1,1,100%,0,0%
38.,"Őrült Enkala, az animátor (2023) (epikus)",1,1,100%,0,0%
39.,Chara-din követője (2020),1,1,100%,0,0%
40.,Életenergia (új),1,1,100%,0,0%
41.,Ősi bölcsesség,1,1,100%,0,0%
42.,"Ősi rúna, Átkozott követő (új)",1,1,0%,0,0%
43.,"Hegymélyi keltető (2025), Dupla élvezet",1,1,0%,0,0%
44.,"Életenergia (új), Antimágikus rakshallion (2020)",1,1,0%,0,0%
45.,"Az alvilág ura (2025), Hegymélyi keltető (2025)",1,1,0%,0,0%
46.,"Átkozott követő (új), Nincs ingyen kenyér",1,1,0%,0,0%
47.,Elsődleges elementál (2026) (epikus),1,1,0%,0,0%
48.,"Mulgan, a segítő (2025) (epikus)",1,1,0%,0,0%
49.,Weerd admirális (epikus),1,1,0%,0,0%
50.,Harangmester (2020),1,1,0%,0,0%
51.,Főparancsnok (2020),1,1,0%,0,0%
52.,Építő rakshallion (2020),1,1,0%,0,0%
53.,Legendás pegazus (új) (epikus),1,1,0%,0,0%
54.,Terrgath,1,1,0%,0,0%
