,Lap,Összesen,Főpakli összesen,Főpakli top%,Side összesen,Side top%
1.,Morf talizmán,101,2,50%,99,28.28%
2.,A sors keze,62,61,24.59%,1,0%
3.,Tőr vagy kölyök?,60,51,21.57%,9,44.44%
4.,Léleksorvasztás,58,58,24.14%,0,0%
5.,Eltörlés (2024),57,37,35.14%,20,10%
6.,Alvó termik,53,19,15.79%,34,29.41%
7.,Tiltakozás,51,50,24%,1,100%
8.,"Mimich, a háromszemű",48,20,20%,28,32.14%
9.,Istenölő,45,11,36.36%,34,26.47%
10.,Nehéz harci fregatt,44,22,27.27%,22,36.36%
11.,Gyémántgólem (2023),44,15,6.67%,29,41.38%
12.,Vízfőnix,43,36,30.56%,7,14.29%
13.,Jégkornis (2026),43,25,32%,18,44.44%
14.,"Kaci, az álomtolvaj",43,21,19.05%,22,27.27%
15.,Árnyrém (2023),41,40,17.5%,1,100%
16.,Roxati leszámolás,40,38,34.21%,2,0%
17.,Purgálás (2026),40,35,20%,5,40%
18.,A szirének átka,40,2,0%,38,28.95%
19.,Időlassító,39,29,44.83%,10,30%
20.,Sziréndal,39,33,33.33%,6,33.33%
21.,Füstbement terv,39,10,30%,29,31.03%
22.,Teknős felderítő,38,37,35.14%,1,0%
23.,Zsebdimenzió,38,30,36.67%,8,25%
24.,Rücskös látógömb (2026),37,32,43.75%,5,40%
25.,Gruk'tar,37,33,30.3%,4,0%
26.,Lohd Haven (2026),37,34,23.53%,3,33.33%
27.,Tűztomboló (2026),37,34,20.59%,3,66.67%
28.,"Azt mondtam, nem (2026)",36,13,23.08%,23,34.78%
29.,A mélység felfedezése (2023),36,7,42.86%,29,10.34%
30.,Süllyedő hajó,35,31,25.81%,4,25%
31.,Raia szent főnixe,35,27,18.52%,8,25%
32.,Termik nekromanta,35,14,21.43%,21,23.81%
33.,A természet őre,34,34,32.35%,0,0%
34.,Végképp eltörölni (2026),32,30,30%,2,0%
35.,Az expedíció vezetője,32,32,28.13%,0,0%
36.,Hegyi góliát (2024),31,10,10%,21,38.1%
37.,Ősöreg Dorka (2026),31,0,0%,31,19.35%
38.,Napút,30,27,25.93%,3,0%
39.,Káoszfőnix,30,7,14.29%,23,34.78%
40.,"Kyb'er, a csontangyal (2024)",30,1,0%,29,17.24%
41.,Trikornis (2023),29,28,35.71%,1,0%
42.,A szépség dühe (2026),29,24,20.83%,5,20%
43.,A gyík lesújt (2026),29,26,11.54%,3,66.67%
44.,Az idő bélyege,28,26,15.38%,2,50%
45.,Abrakadabra,28,4,25%,24,29.17%
46.,Most már elég (2024),28,2,0%,26,15.38%
47.,A gyalázat lemosása (2023),27,11,27.27%,16,25%
48.,A föld nyelte el,27,3,33.33%,24,29.17%
49.,Tüskéscápa,27,16,6.25%,11,27.27%
50.,Moa homokfutó (2020),25,22,50%,3,33.33%
51.,Császári kínmester (2023),25,24,33.33%,1,100%
52.,Ewgbert manakifordítása,25,22,27.27%,3,0%
53.,Ragálymester,25,23,26.09%,2,50%
54.,Északi cirkáló,25,12,33.33%,13,38.46%
55.,Az idő tornya (2026),25,9,11.11%,16,31.25%
56.,Ghallai kráken,25,6,16.67%,19,31.58%
57.,Dimenzióvortex,25,6,0%,19,36.84%
58.,Termikszaurusz,24,18,27.78%,6,33.33%
59.,Mösze tornádó (2024),24,23,21.74%,1,0%
60.,Apró mágia,24,16,31.25%,8,25%
61.,Agybénítás (2025),23,20,30%,3,0%
62.,Hívó kürt (2024),23,16,31.25%,7,28.57%
63.,A Gigász megsemmisítése,23,18,22.22%,5,0%
64.,Kiégetés,23,5,20%,18,27.78%
65.,Lohd Haven hikoltása (2026),22,22,27.27%,0,0%
66.,Felejtő bűbáj (2026),22,22,22.73%,0,0%
67.,Kristálytiszta dallam,22,10,40%,12,41.67%
68.,Buborék (2026),22,17,17.65%,5,20%
69.,Teknős íjász,22,9,33.33%,13,38.46%
70.,Jéggólem (2025),22,13,15.38%,9,11.11%
71.,Precíziós csapás,22,5,20%,17,11.76%
72.,Homokgólem (2025),21,0,0%,21,38.1%
73.,Apró vörös sárkány,21,2,0%,19,26.32%
74.,A majom technikája (2026),20,15,33.33%,5,20%
75.,Manafonál (2025),20,17,23.53%,3,0%
76.,A sors fintora (2024),20,18,22.22%,2,50%
77.,Mélytengeri teknős (2025),20,5,40%,15,20%
78.,Ifjú Dorka,20,0,0%,20,10%
79.,Mutáns szirén,20,5,0%,15,13.33%
80.,Savrengés,19,18,27.78%,1,0%
81.,A múlt tükre (2025),19,17,17.65%,2,0%
82.,Goblin logisztikus (2026),18,18,38.89%,0,0%
83.,Burástya szaporítótelep,18,18,27.78%,0,0%
84.,Cápaporonty,18,15,20%,3,0%
85.,Görbe tükör,18,5,20%,13,23.08%
86.,A különlegesség megcsúfolása (új),18,7,14.29%,11,45.45%
87.,Vlagyimir zoknija,18,1,0%,17,29.41%
88.,Lávagólem (2024),18,0,0%,18,22.22%
89.,Tigrissárkány (2024),17,11,36.36%,6,50%
90.,Angyalgólem,17,16,18.75%,1,100%
91.,Rohamozó ork (2024),17,14,21.43%,3,33.33%
92.,Gárdakapitány (2026),17,16,12.5%,1,0%
93.,Reinkarnátor,17,11,9.09%,6,16.67%
94.,Fémdarázs,16,15,33.33%,1,0%
95.,Madárijesztő (2025),16,10,50%,6,16.67%
96.,Fehér holló (2025),16,16,25%,0,0%
97.,Rughar aurája,16,14,21.43%,2,50%
98.,Kincseskamra (2023),16,5,40%,11,18.18%
99.,Purifikáció (2026),16,10,10%,6,16.67%
100.,Drakolder negátor (2026),16,1,0%,15,46.67%
