,Lap,Összesen,Főpakli összesen,Főpakli top%,Side összesen,Side top%
1.,Morf talizmán,28,0,0%,28,17.86%
2.,Északi cirkáló,15,9,11.11%,6,0%
3.,Hívó kürt (2024),14,12,16.67%,2,50%
4.,Füstbement terv,13,9,11.11%,4,0%
5.,"Leira, a fertőzött",13,5,20%,8,37.5%
6.,Lidérc drón,13,1,0%,12,25%
7.,"Kyb'er, a csontangyal (2024)",13,1,0%,12,16.67%
8.,Most már elég (2024),13,1,0%,12,16.67%
9.,Cikázó fregatt,10,10,30%,0,0%
10.,Kincseskamra (2023),10,7,14.29%,3,0%
11.,Fellegvár,9,9,22.22%,0,0%
12.,Felejtő bűbáj (2026),9,9,22.22%,0,0%
13.,Madárijesztő (2025),9,9,11.11%,0,0%
14.,Az idő bélyege,9,6,16.67%,3,0%
15.,Cuki morf,9,5,0%,4,25%
16.,Buborék (2026),8,6,66.67%,2,50%
17.,Tc'heniacl kibocsátó,8,7,28.57%,1,0%
18.,Alvó termik,8,6,33.33%,2,0%
19.,Csellengő csontváz,8,3,66.67%,5,60%
20.,Csáp-istenség (2023),8,4,50%,4,25%
21.,Cápaporonty,8,8,12.5%,0,0%
22.,Agybénítás (2025),8,8,12.5%,0,0%
23.,Apró kívánság (2025),8,6,0%,2,0%
24.,"Mikhael, az oltalmazó",8,4,0%,4,0%
25.,Élőholt vándor,7,6,50%,1,0%
26.,Orgling haszonállat (2023),7,5,40%,2,50%
27.,Átkozott követő (új),7,7,28.57%,0,0%
28.,Az idő tornya (2026),7,4,25%,3,33.33%
29.,"Mimich, a háromszemű",7,3,33.33%,4,25%
30.,Troll csatakiáltás (2023),7,5,20%,2,0%
31.,Időlassító,7,5,20%,2,50%
32.,"Orothiel, északi fény",7,6,0%,1,0%
33.,Ősöreg Dorka (2026),7,0,0%,7,28.57%
34.,Homokgólem (2025),7,0,0%,7,14.29%
35.,A föld nyelte el,7,3,0%,4,0%
36.,A behemótok üvöltése,7,7,0%,0,0%
37.,Mélytengeri teknős (2025),7,1,0%,6,16.67%
38.,"Miriam, az elbűvölő",7,0,0%,7,28.57%
39.,Abrakadabra,7,1,0%,6,33.33%
40.,Pihenő (2023),7,0,0%,7,28.57%
41.,Ghallai kráken,7,3,0%,4,50%
42.,Motyogó szerencsejátékos,6,4,50%,2,0%
43.,Gárdakapitány (2026),6,6,33.33%,0,0%
44.,Bűvös tavacska (2025),6,4,50%,2,50%
45.,Reagáló termik,6,6,33.33%,0,0%
46.,Uralkodó,6,5,40%,1,0%
47.,Garabonciás (2023),6,6,33.33%,0,0%
48.,Orgling tanácsadó (2023),6,5,40%,1,0%
49.,Karácsony (2025),6,6,16.67%,0,0%
50.,A tundra hőse,6,4,25%,2,50%
51.,Ragálymester,6,5,20%,1,0%
52.,Mösze tornádó (2024),6,5,20%,1,0%
53.,"Adriel, az ezerarcú",6,4,0%,2,0%
54.,Gileak nagyúr,6,5,0%,1,0%
55.,Az égi tanács ügynöke,6,3,0%,3,0%
56.,Kobudera tanítómester,6,3,0%,3,66.67%
57.,Káoszfőnix,6,2,0%,4,50%
58.,A halál árnyékában (2024),6,0,0%,6,33.33%
59.,Mennyei térítő,6,5,0%,1,0%
60.,Buborékváros (2023),6,6,0%,0,0%
61.,Mentális enyészet (2026),5,4,50%,1,100%
62.,Az élet és halál ura (2026),5,5,40%,0,0%
63.,Nyugalom (2025),5,5,40%,0,0%
64.,Degenerált xenomorf (2023),5,5,40%,0,0%
65.,Teknős gárdista (2026),5,3,33.33%,2,0%
66.,Alkimista teknős,5,4,25%,1,0%
67.,Mágiatörő barlang,5,4,25%,1,0%
68.,Emlékmás,5,3,33.33%,2,50%
69.,"Genbu, a sötét",5,4,25%,1,0%
70.,Hegymélyi keltető (2025),5,5,20%,0,0%
71.,Csontváz szolga,5,3,33.33%,2,50%
72.,Morgan átkozott ajándéka (2023),5,1,100%,4,75%
73.,Angyalgólem,5,5,0%,0,0%
74.,Nagy Fehér Védelmező,5,2,0%,3,33.33%
75.,Felesleges ígéret,5,2,0%,3,0%
76.,Megkövesedett sün (2025),5,1,0%,4,25%
77.,Éjfatty csökevény,5,0,0%,5,40%
78.,A szirének átka,5,0,0%,5,60%
79.,Mozgástér,5,4,0%,1,100%
80.,Kiégetés,5,1,0%,4,50%
81.,Varkaudar stratéga,5,0,0%,5,40%
82.,Fehér manó (2023),5,2,0%,3,66.67%
83.,Tűztomboló (2026),4,4,75%,0,0%
84.,Sólyomfőnix (2026),4,3,66.67%,1,0%
85.,Solisar aurája (2026),4,4,50%,0,0%
86.,Démoni mágia (2026),4,4,50%,0,0%
87.,Xenomorf felderítő (2026),4,3,66.67%,1,0%
88.,Lávacsepp (2025),4,3,66.67%,1,0%
89.,Zinthurg csemege (2025),4,4,50%,0,0%
90.,Szellemi bűbáj (2024),4,3,66.67%,1,0%
91.,Rhatt ministránsa (2023),4,4,50%,0,0%
92.,Idéző teknős (2026),4,3,33.33%,1,0%
93.,A hasonlóság keresése (2026),4,2,50%,2,50%
94.,Precíziós csapás,4,2,50%,2,0%
95.,Szilánkcsapda (2023),4,4,25%,0,0%
96.,Hadicsel (2026),4,3,0%,1,0%
97.,Purifikáció (2026),4,3,0%,1,0%
98.,Ifjú matróz,4,4,0%,0,0%
99.,Apró mágia,4,3,0%,1,0%
100.,Mágusok csatája (2023),4,4,0%,0,0%
